year,Region,Attack.Type,Percentage
1972,Sub-Saharan Africa,Other,0
1973,Asia-Pacific,Armed Assault,1
1973,Asia-Pacific,Bombing/Explosion,1
1973,Asia-Pacific,Facility/Infrastructure Attack,2
1973,Asia-Pacific,Hostage taking/assassinaton,1
1973,Asia-Pacific,Other,0
1973,Central America & Caribbean,Armed Assault,0
1973,Central America & Caribbean,Bombing/Explosion,1
1973,Central America & Caribbean,Facility/Infrastructure Attack,0
1973,Central America & Caribbean,Hostage taking/assassinaton,4
1973,Central America & Caribbean,Other,1
1973,Central Asia,Armed Assault,0
1973,Central Asia,Bombing/Explosion,0
1973,Central Asia,Facility/Infrastructure Attack,0
1973,Central Asia,Hostage taking/assassinaton,0
1973,Central Asia,Other,0
1973,Europe,Armed Assault,27
1973,Europe,Bombing/Explosion,89
1973,Europe,Facility/Infrastructure Attack,24
1973,Europe,Hostage taking/assassinaton,145
1973,Europe,Other,6
1973,MENA,Armed Assault,2
1973,MENA,Bombing/Explosion,14
1973,MENA,Facility/Infrastructure Attack,0
1973,MENA,Hostage taking/assassinaton,2
1973,MENA,Other,1
1973,North America,Armed Assault,21
1973,North America,Bombing/Explosion,22
1973,North America,Facility/Infrastructure Attack,4
1973,North America,Hostage taking/assassinaton,14
1973,North America,Other,3
1973,South America,Armed Assault,10
1973,South America,Bombing/Explosion,22
1973,South America,Facility/Infrastructure Attack,6
1973,South America,Hostage taking/assassinaton,42
1973,South America,Other,3
1973,South Asia,Armed Assault,0
1973,South Asia,Bombing/Explosion,0
1973,South Asia,Facility/Infrastructure Attack,0
1973,South Asia,Hostage taking/assassinaton,0
1973,South Asia,Other,1
1973,Sub-Saharan Africa,Armed Assault,0
1973,Sub-Saharan Africa,Bombing/Explosion,0
1973,Sub-Saharan Africa,Facility/Infrastructure Attack,0
1973,Sub-Saharan Africa,Hostage taking/assassinaton,4
1973,Sub-Saharan Africa,Other,0
1974,Asia-Pacific,Armed Assault,0
1974,Asia-Pacific,Bombing/Explosion,0
1974,Asia-Pacific,Facility/Infrastructure Attack,3
1974,Asia-Pacific,Hostage taking/assassinaton,4
1974,Asia-Pacific,Other,1
1974,Central America & Caribbean,Armed Assault,1
1974,Central America & Caribbean,Bombing/Explosion,6
1974,Central America & Caribbean,Facility/Infrastructure Attack,0
1974,Central America & Caribbean,Hostage taking/assassinaton,4
1974,Central America & Caribbean,Other,0
1974,Central Asia,Armed Assault,0
1974,Central Asia,Bombing/Explosion,0
1974,Central Asia,Facility/Infrastructure Attack,0
1974,Central Asia,Hostage taking/assassinaton,0
1974,Central Asia,Other,0
1974,Europe,Armed Assault,23
1974,Europe,Bombing/Explosion,126
1974,Europe,Facility/Infrastructure Attack,25
1974,Europe,Hostage taking/assassinaton,142
1974,Europe,Other,2
1974,MENA,Armed Assault,3
1974,MENA,Bombing/Explosion,27
1974,MENA,Facility/Infrastructure Attack,1
1974,MENA,Hostage taking/assassinaton,8
1974,MENA,Other,3
1974,North America,Armed Assault,14
1974,North America,Bombing/Explosion,73
1974,North America,Facility/Infrastructure Attack,7
1974,North America,Hostage taking/assassinaton,7
1974,North America,Other,10
1974,South America,Armed Assault,4
1974,South America,Bombing/Explosion,44
1974,South America,Facility/Infrastructure Attack,2
1974,South America,Hostage taking/assassinaton,31
1974,South America,Other,0
1974,South Asia,Armed Assault,0
1974,South Asia,Bombing/Explosion,2
1974,South Asia,Facility/Infrastructure Attack,0
1974,South Asia,Hostage taking/assassinaton,0
1974,South Asia,Other,0
1974,Sub-Saharan Africa,Armed Assault,0
1974,Sub-Saharan Africa,Bombing/Explosion,3
1974,Sub-Saharan Africa,Facility/Infrastructure Attack,0
1974,Sub-Saharan Africa,Hostage taking/assassinaton,4
1974,Sub-Saharan Africa,Other,0
1975,Asia-Pacific,Armed Assault,0
1975,Asia-Pacific,Bombing/Explosion,14
1975,Asia-Pacific,Facility/Infrastructure Attack,1
1975,Asia-Pacific,Hostage taking/assassinaton,4
1975,Asia-Pacific,Other,0
1975,Central America & Caribbean,Armed Assault,2
1975,Central America & Caribbean,Bombing/Explosion,0
1975,Central America & Caribbean,Facility/Infrastructure Attack,0
1975,Central America & Caribbean,Hostage taking/assassinaton,5
1975,Central America & Caribbean,Other,2
1975,Central Asia,Armed Assault,0
1975,Central Asia,Bombing/Explosion,0
1975,Central Asia,Facility/Infrastructure Attack,0
1975,Central Asia,Hostage taking/assassinaton,0
1975,Central Asia,Other,0
1975,Europe,Armed Assault,49
1975,Europe,Bombing/Explosion,155
1975,Europe,Facility/Infrastructure Attack,57
1975,Europe,Hostage taking/assassinaton,158
1975,Europe,Other,19
1975,MENA,Armed Assault,3
1975,MENA,Bombing/Explosion,27
1975,MENA,Facility/Infrastructure Attack,0
1975,MENA,Hostage taking/assassinaton,10
1975,MENA,Other,4
1975,North America,Armed Assault,9
1975,North America,Bombing/Explosion,116
1975,North America,Facility/Infrastructure Attack,4
1975,North America,Hostage taking/assassinaton,8
1975,North America,Other,22
1975,South America,Armed Assault,12
1975,South America,Bombing/Explosion,25
1975,South America,Facility/Infrastructure Attack,2
1975,South America,Hostage taking/assassinaton,13
1975,South America,Other,3
1975,South Asia,Armed Assault,0
1975,South Asia,Bombing/Explosion,1
1975,South Asia,Facility/Infrastructure Attack,0
1975,South Asia,Hostage taking/assassinaton,2
1975,South Asia,Other,1
1975,Sub-Saharan Africa,Armed Assault,0
1975,Sub-Saharan Africa,Bombing/Explosion,3
1975,Sub-Saharan Africa,Facility/Infrastructure Attack,0
1975,Sub-Saharan Africa,Hostage taking/assassinaton,8
1975,Sub-Saharan Africa,Other,1
1976,Asia-Pacific,Armed Assault,4
1976,Asia-Pacific,Bombing/Explosion,4
1976,Asia-Pacific,Facility/Infrastructure Attack,1
1976,Asia-Pacific,Hostage taking/assassinaton,3
1976,Asia-Pacific,Other,2
1976,Central America & Caribbean,Armed Assault,9
1976,Central America & Caribbean,Bombing/Explosion,28
1976,Central America & Caribbean,Facility/Infrastructure Attack,1
