year,Region,Attack.Type,Percentage
1984,Sub-Saharan Africa,Hostage taking/assassinaton,24
1984,Sub-Saharan Africa,Other,12
1985,Asia-Pacific,Armed Assault,10
1985,Asia-Pacific,Bombing/Explosion,35
1985,Asia-Pacific,Facility/Infrastructure Attack,11
1985,Asia-Pacific,Hostage taking/assassinaton,39
1985,Asia-Pacific,Other,50
1985,Central America & Caribbean,Armed Assault,413
1985,Central America & Caribbean,Bombing/Explosion,253
1985,Central America & Caribbean,Facility/Infrastructure Attack,19
1985,Central America & Caribbean,Hostage taking/assassinaton,85
1985,Central America & Caribbean,Other,10
1985,Central Asia,Armed Assault,0
1985,Central Asia,Bombing/Explosion,0
1985,Central Asia,Facility/Infrastructure Attack,0
1985,Central Asia,Hostage taking/assassinaton,0
1985,Central Asia,Other,0
1985,Europe,Armed Assault,23
1985,Europe,Bombing/Explosion,316
1985,Europe,Facility/Infrastructure Attack,18
1985,Europe,Hostage taking/assassinaton,91
1985,Europe,Other,23
1985,MENA,Armed Assault,3
1985,MENA,Bombing/Explosion,90
1985,MENA,Facility/Infrastructure Attack,2
1985,MENA,Hostage taking/assassinaton,30
1985,MENA,Other,8
1985,North America,Armed Assault,0
1985,North America,Bombing/Explosion,22
1985,North America,Facility/Infrastructure Attack,9
1985,North America,Hostage taking/assassinaton,5
1985,North America,Other,8
1985,South America,Armed Assault,184
1985,South America,Bombing/Explosion,593
1985,South America,Facility/Infrastructure Attack,66
1985,South America,Hostage taking/assassinaton,162
1985,South America,Other,35
1985,South Asia,Armed Assault,22
1985,South Asia,Bombing/Explosion,74
1985,South Asia,Facility/Infrastructure Attack,3
1985,South Asia,Hostage taking/assassinaton,47
1985,South Asia,Other,15
1985,Sub-Saharan Africa,Armed Assault,4
1985,Sub-Saharan Africa,Bombing/Explosion,91
1985,Sub-Saharan Africa,Facility/Infrastructure Attack,8
1985,Sub-Saharan Africa,Hostage taking/assassinaton,23
1985,Sub-Saharan Africa,Other,15
1986,Asia-Pacific,Armed Assault,14
1986,Asia-Pacific,Bombing/Explosion,45
1986,Asia-Pacific,Facility/Infrastructure Attack,9
1986,Asia-Pacific,Hostage taking/assassinaton,33
1986,Asia-Pacific,Other,17
1986,Central America & Caribbean,Armed Assault,236
1986,Central America & Caribbean,Bombing/Explosion,114
1986,Central America & Caribbean,Facility/Infrastructure Attack,4
1986,Central America & Caribbean,Hostage taking/assassinaton,31
1986,Central America & Caribbean,Other,8
1986,Central Asia,Armed Assault,0
1986,Central Asia,Bombing/Explosion,0
1986,Central Asia,Facility/Infrastructure Attack,0
1986,Central Asia,Hostage taking/assassinaton,0
1986,Central Asia,Other,0
1986,Europe,Armed Assault,27
1986,Europe,Bombing/Explosion,306
1986,Europe,Facility/Infrastructure Attack,40
1986,Europe,Hostage taking/assassinaton,73
1986,Europe,Other,12
1986,MENA,Armed Assault,16
1986,MENA,Bombing/Explosion,115
1986,MENA,Facility/Infrastructure Attack,2
1986,MENA,Hostage taking/assassinaton,55
1986,MENA,Other,8
1986,North America,Armed Assault,1
1986,North America,Bombing/Explosion,28
1986,North America,Facility/Infrastructure Attack,8
1986,North America,Hostage taking/assassinaton,2
1986,North America,Other,14
1986,South America,Armed Assault,236
1986,South America,Bombing/Explosion,647
1986,South America,Facility/Infrastructure Attack,60
1986,South America,Hostage taking/assassinaton,216
1986,South America,Other,25
1986,South Asia,Armed Assault,52
1986,South Asia,Bombing/Explosion,121
1986,South Asia,Facility/Infrastructure Attack,3
1986,South Asia,Hostage taking/assassinaton,59
1986,South Asia,Other,38
1986,Sub-Saharan Africa,Armed Assault,6
1986,Sub-Saharan Africa,Bombing/Explosion,124
1986,Sub-Saharan Africa,Facility/Infrastructure Attack,9
1986,Sub-Saharan Africa,Hostage taking/assassinaton,22
1986,Sub-Saharan Africa,Other,24
1987,Asia-Pacific,Armed Assault,40
1987,Asia-Pacific,Bombing/Explosion,73
1987,Asia-Pacific,Facility/Infrastructure Attack,5
1987,Asia-Pacific,Hostage taking/assassinaton,48
1987,Asia-Pacific,Other,10
1987,Central America & Caribbean,Armed Assault,292
1987,Central America & Caribbean,Bombing/Explosion,215
1987,Central America & Caribbean,Facility/Infrastructure Attack,12
1987,Central America & Caribbean,Hostage taking/assassinaton,32
1987,Central America & Caribbean,Other,15
1987,Central Asia,Armed Assault,0
1987,Central Asia,Bombing/Explosion,0
1987,Central Asia,Facility/Infrastructure Attack,0
1987,Central Asia,Hostage taking/assassinaton,0
1987,Central Asia,Other,0
1987,Europe,Armed Assault,19
1987,Europe,Bombing/Explosion,231
1987,Europe,Facility/Infrastructure Attack,34
1987,Europe,Hostage taking/assassinaton,108
1987,Europe,Other,26
1987,MENA,Armed Assault,41
1987,MENA,Bombing/Explosion,82
1987,MENA,Facility/Infrastructure Attack,4
1987,MENA,Hostage taking/assassinaton,62
1987,MENA,Other,13
1987,North America,Armed Assault,0
1987,North America,Bombing/Explosion,11
1987,North America,Facility/Infrastructure Attack,6
1987,North America,Hostage taking/assassinaton,0
1987,North America,Other,18
1987,South America,Armed Assault,269
1987,South America,Bombing/Explosion,647
1987,South America,Facility/Infrastructure Attack,31
1987,South America,Hostage taking/assassinaton,256
1987,South America,Other,62
1987,South Asia,Armed Assault,102
1987,South Asia,Bombing/Explosion,120
1987,South Asia,Facility/Infrastructure Attack,16
1987,South Asia,Hostage taking/assassinaton,90
1987,South Asia,Other,20
1987,Sub-Saharan Africa,Armed Assault,35
1987,Sub-Saharan Africa,Bombing/Explosion,89
1987,Sub-Saharan Africa,Facility/Infrastructure Attack,2
1987,Sub-Saharan Africa,Hostage taking/assassinaton,23
1987,Sub-Saharan Africa,Other,25
1988,Asia-Pacific,Armed Assault,92
1988,Asia-Pacific,Bombing/Explosion,57
1988,Asia-Pacific,Facility/Infrastructure Attack,14
1988,Asia-Pacific,Hostage taking/assassinaton,109
1988,Asia-Pacific,Other,6
1988,Central America & Caribbean,Armed Assault,158
1988,Central America & Caribbean,Bombing/Explosion,265
1988,Central America & Caribbean,Facility/Infrastructure Attack,20
1988,Central America & Caribbean,Hostage taking/assassinaton,50
1988,Central America & Caribbean,Other,2
1988,Central Asia,Armed Assault,0
1988,Central Asia,Bombing/Explosion,0
1988,Central Asia,Facility/Infrastructure Attack,0
1988,Central Asia,Hostage taking/assassinaton,0
1988,Central Asia,Other,0
1988,Europe,Armed Assault,26
1988,Europe,Bombing/Explosion,315
1988,Europe,Facility/Infrastructure Attack,50
1988,Europe,Hostage taking/assassinaton,100
1988,Europe,Other,2
1988,MENA,Armed Assault,41
1988,MENA,Bombing/Explosion,121
1988,MENA,Facility/Infrastructure Attack,16
1988,MENA,Hostage taking/assassinaton,64
1988,MENA,Other,4
1988,North America,Armed Assault,0
1988,North America,Bombing/Explosion,6
1988,North America,Facility/Infrastructure Attack,6
1988,North America,Hostage taking/assassinaton,2
1988,North America,Other,16
1988,South America,Armed Assault,291
1988,South America,Bombing/Explosion,417
1988,South America,Facility/Infrastructure Attack,20
1988,South America,Hostage taking/assassinaton,295
1988,South America,Other,18
1988,South Asia,Armed Assault,258
1988,South Asia,Bombing/Explosion,236
1988,South Asia,Facility/Infrastructure Attack,14
1988,South Asia,Hostage taking/assassinaton,285
1988,South Asia,Other,7
1988,Sub-Saharan Africa,Armed Assault,55
1988,Sub-Saharan Africa,Bombing/Explosion,221
1988,Sub-Saharan Africa,Facility/Infrastructure Attack,6
1988,Sub-Saharan Africa,Hostage taking/assassinaton,41
1988,Sub-Saharan Africa,Other,14
1989,Asia-Pacific,Armed Assault,74
1989,Asia-Pacific,Bombing/Explosion,74
1989,Asia-Pacific,Facility/Infrastructure Attack,13
1989,Asia-Pacific,Hostage taking/assassinaton,83
1989,Asia-Pacific,Other,6
1989,Central America & Caribbean,Armed Assault,191
1989,Central America & Caribbean,Bombing/Explosion,209
1989,Central America & Caribbean,Facility/Infrastructure Attack,20
1989,Central America & Caribbean,Hostage taking/assassinaton,81
1989,Central America & Caribbean,Other,2
1989,Central Asia,Armed Assault,0
1989,Central Asia,Bombing/Explosion,0
1989,Central Asia,Facility/Infrastructure Attack,0
1989,Central Asia,Hostage taking/assassinaton,0
1989,Central Asia,Other,0
1989,Europe,Armed Assault,25
1989,Europe,Bombing/Explosion,257
1989,Europe,Facility/Infrastructure Attack,63
1989,Europe,Hostage taking/assassinaton,111
1989,Europe,Other,4
1989,MENA,Armed Assault,126
1989,MENA,Bombing/Explosion,147
1989,MENA,Facility/Infrastructure Attack,18
1989,MENA,Hostage taking/assassinaton,169
1989,MENA,Other,4
1989,North America,Armed Assault,1
1989,North America,Bombing/Explosion,12
1989,North America,Facility/Infrastructure Attack,12
1989,North America,Hostage taking/assassinaton,5
1989,North America,Other,14
1989,South America,Armed Assault,299
1989,South America,Bombing/Explosion,694
1989,South America,Facility/Infrastructure Attack,23
1989,South America,Hostage taking/assassinaton,363
1989,South America,Other,6
1989,South Asia,Armed Assault,310
1989,South Asia,Bombing/Explosion,258
1989,South Asia,Facility/Infrastructure Attack,80
1989,South Asia,Hostage taking/assassinaton,268
1989,South Asia,Other,10
1989,Sub-Saharan Africa,Armed Assault,95
1989,Sub-Saharan Africa,Bombing/Explosion,139
1989,Sub-Saharan Africa,Facility/Infrastructure Attack,3
1989,Sub-Saharan Africa,Hostage taking/assassinaton,47
1989,Sub-Saharan Africa,Other,7
1990,Asia-Pacific,Armed Assault,122
1990,Asia-Pacific,Bombing/Explosion,184
1990,Asia-Pacific,Facility/Infrastructure Attack,62
1990,Asia-Pacific,Hostage taking/assassinaton,92
1990,Asia-Pacific,Other,5
1990,Central America & Caribbean,Armed Assault,80
1990,Central America & Caribbean,Bombing/Explosion,172
1990,Central America & Caribbean,Facility/Infrastructure Attack,6
1990,Central America & Caribbean,Hostage taking/assassinaton,57
1990,Central America & Caribbean,Other,1
1990,Central Asia,Armed Assault,0
1990,Central Asia,Bombing/Explosion,0
1990,Central Asia,Facility/Infrastructure Attack,0
1990,Central Asia,Hostage taking/assassinaton,0
1990,Central Asia,Other,0
1990,Europe,Armed Assault,34
1990,Europe,Bombing/Explosion,255
1990,Europe,Facility/Infrastructure Attack,29
1990,Europe,Hostage taking/assassinaton,127
1990,Europe,Other,3
1990,MENA,Armed Assault,143
1990,MENA,Bombing/Explosion,137
1990,MENA,Facility/Infrastructure Attack,18
1990,MENA,Hostage taking/assassinaton,187
1990,MENA,Other,9
1990,North America,Armed Assault,0
1990,North America,Bombing/Explosion,7
1990,North America,Facility/Infrastructure Attack,4
1990,North America,Hostage taking/assassinaton,7
1990,North America,Other,19
1990,South America,Armed Assault,210
1990,South America,Bombing/Explosion,500
1990,South America,Facility/Infrastructure Attack,26
1990,South America,Hostage taking/assassinaton,338
1990,South America,Other,2
1990,South Asia,Armed Assault,202
1990,South Asia,Bombing/Explosion,179
1990,South Asia,Facility/Infrastructure Attack,13
1990,South Asia,Hostage taking/assassinaton,199
1990,South Asia,Other,8
1990,Sub-Saharan Africa,Armed Assault,85
1990,Sub-Saharan Africa,Bombing/Explosion,287
1990,Sub-Saharan Africa,Facility/Infrastructure Attack,23
1990,Sub-Saharan Africa,Hostage taking/assassinaton,54
1990,Sub-Saharan Africa,Other,1
1991,Asia-Pacific,Armed Assault,76
1991,Asia-Pacific,Bombing/Explosion,90
1991,Asia-Pacific,Facility/Infrastructure Attack,24
1991,Asia-Pacific,Hostage taking/assassinaton,50
1991,Asia-Pacific,Other,5
1991,Central America & Caribbean,Armed Assault,324
1991,Central America & Caribbean,Bombing/Explosion,295
1991,Central America & Caribbean,Facility/Infrastructure Attack,15
1991,Central America & Caribbean,Hostage taking/assassinaton,84
1991,Central America & Caribbean,Other,11
1991,Central Asia,Armed Assault,2
1991,Central Asia,Bombing/Explosion,2
1991,Central Asia,Facility/Infrastructure Attack,0
1991,Central Asia,Hostage taking/assassinaton,1
1991,Central Asia,Other,2
1991,Europe,Armed Assault,66
1991,Europe,Bombing/Explosion,379
1991,Europe,Facility/Infrastructure Attack,164
1991,Europe,Hostage taking/assassinaton,137
1991,Europe,Other,34
1991,MENA,Armed Assault,154
1991,MENA,Bombing/Explosion,268
1991,MENA,Facility/Infrastructure Attack,34
1991,MENA,Hostage taking/assassinaton,141
1991,MENA,Other,15
1991,North America,Armed Assault,2
1991,North America,Bombing/Explosion,11
1991,North America,Facility/Infrastructure Attack,7
1991,North America,Hostage taking/assassinaton,3
1991,North America,Other,17
1991,South America,Armed Assault,296
1991,South America,Bombing/Explosion,687
1991,South America,Facility/Infrastructure Attack,38
1991,South America,Hostage taking/assassinaton,289
1991,South America,Other,12
1991,South Asia,Armed Assault,225
1991,South Asia,Bombing/Explosion,208
1991,South Asia,Facility/Infrastructure Attack,40
1991,South Asia,Hostage taking/assassinaton,194
1991,South Asia,Other,10
1991,Sub-Saharan Africa,Armed Assault,125
1991,Sub-Saharan Africa,Bombing/Explosion,46
1991,Sub-Saharan Africa,Facility/Infrastructure Attack,18
1991,Sub-Saharan Africa,Hostage taking/assassinaton,67
1991,Sub-Saharan Africa,Other,15
1992,Asia-Pacific,Armed Assault,105
1992,Asia-Pacific,Bombing/Explosion,118
1992,Asia-Pacific,Facility/Infrastructure Attack,38
1992,Asia-Pacific,Hostage taking/assassinaton,93
1992,Asia-Pacific,Other,16
1992,Central America & Caribbean,Armed Assault,50
1992,Central America & Caribbean,Bombing/Explosion,74
1992,Central America & Caribbean,Facility/Infrastructure Attack,19
1992,Central America & Caribbean,Hostage taking/assassinaton,53
1992,Central America & Caribbean,Other,16
1992,Central Asia,Armed Assault,29
1992,Central Asia,Bombing/Explosion,24
1992,Central Asia,Facility/Infrastructure Attack,1
1992,Central Asia,Hostage taking/assassinaton,17
1992,Central Asia,Other,6
1992,Europe,Armed Assault,109
1992,Europe,Bombing/Explosion,347
1992,Europe,Facility/Infrastructure Attack,170
1992,Europe,Hostage taking/assassinaton,152
1992,Europe,Other,82
1992,MENA,Armed Assault,393
1992,MENA,Bombing/Explosion,253
1992,MENA,Facility/Infrastructure Attack,132
1992,MENA,Hostage taking/assassinaton,363
1992,MENA,Other,52
1992,North America,Armed Assault,1
1992,North America,Bombing/Explosion,5
1992,North America,Facility/Infrastructure Attack,8
1992,North America,Hostage taking/assassinaton,8
1992,North America,Other,19
1992,South America,Armed Assault,230
1992,South America,Bombing/Explosion,689
1992,South America,Facility/Infrastructure Attack,37
1992,South America,Hostage taking/assassinaton,222
1992,South America,Other,26
1992,South Asia,Armed Assault,203
1992,South Asia,Bombing/Explosion,131
1992,South Asia,Facility/Infrastructure Attack,34
1992,South Asia,Hostage taking/assassinaton,147
1992,South Asia,Other,30
1992,Sub-Saharan Africa,Armed Assault,206
1992,Sub-Saharan Africa,Bombing/Explosion,96
1992,Sub-Saharan Africa,Facility/Infrastructure Attack,18
1992,Sub-Saharan Africa,Hostage taking/assassinaton,219
1992,Sub-Saharan Africa,Other,32
1993,Asia-Pacific,Armed Assault,0
1993,Asia-Pacific,Bombing/Explosion,0
1993,Asia-Pacific,Facility/Infrastructure Attack,0
1993,Asia-Pacific,Hostage taking/assassinaton,0
1993,Asia-Pacific,Other,0
1993,Central America & Caribbean,Armed Assault,0
1993,Central America & Caribbean,Bombing/Explosion,0
1993,Central America & Caribbean,Facility/Infrastructure Attack,0
1993,Central America & Caribbean,Hostage taking/assassinaton,0
1993,Central America & Caribbean,Other,0
1993,Central Asia,Armed Assault,0
1993,Central Asia,Bombing/Explosion,0
1993,Central Asia,Facility/Infrastructure Attack,0
1993,Central Asia,Hostage taking/assassinaton,0
1993,Central Asia,Other,0
1993,Europe,Armed Assault,0
1993,Europe,Bombing/Explosion,0
1993,Europe,Facility/Infrastructure Attack,0
1993,Europe,Hostage taking/assassinaton,0
1993,Europe,Other,0
1993,MENA,Armed Assault,0
1993,MENA,Bombing/Explosion,0
1993,MENA,Facility/Infrastructure Attack,0
1993,MENA,Hostage taking/assassinaton,0
1993,MENA,Other,0
1993,North America,Armed Assault,0
1993,North America,Bombing/Explosion,0
1993,North America,Facility/Infrastructure Attack,0
1993,North America,Hostage taking/assassinaton,0
1993,North America,Other,0
1993,South America,Armed Assault,0
1993,South America,Bombing/Explosion,0
1993,South America,Facility/Infrastructure Attack,0
1993,South America,Hostage taking/assassinaton,0
1993,South America,Other,0
1993,South Asia,Armed Assault,0
1993,South Asia,Bombing/Explosion,0
1993,South Asia,Facility/Infrastructure Attack,0
1993,South Asia,Hostage taking/assassinaton,0
1993,South Asia,Other,0
1993,Sub-Saharan Africa,Armed Assault,0
1993,Sub-Saharan Africa,Bombing/Explosion,0
1993,Sub-Saharan Africa,Facility/Infrastructure Attack,0
1993,Sub-Saharan Africa,Hostage taking/assassinaton,0
1993,Sub-Saharan Africa,Other,0
1994,Asia-Pacific,Armed Assault,31
1994,Asia-Pacific,Bombing/Explosion,58
1994,Asia-Pacific,Facility/Infrastructure Attack,10
1994,Asia-Pacific,Hostage taking/assassinaton,74
1994,Asia-Pacific,Other,26
1994,Central America & Caribbean,Armed Assault,19
1994,Central America & Caribbean,Bombing/Explosion,71
1994,Central America & Caribbean,Facility/Infrastructure Attack,4
1994,Central America & Caribbean,Hostage taking/assassinaton,63
1994,Central America & Caribbean,Other,23
1994,Central Asia,Armed Assault,8
1994,Central Asia,Bombing/Explosion,26
1994,Central Asia,Facility/Infrastructure Attack,0
1994,Central Asia,Hostage taking/assassinaton,26
1994,Central Asia,Other,5
1994,Europe,Armed Assault,112
1994,Europe,Bombing/Explosion,292
1994,Europe,Facility/Infrastructure Attack,95
1994,Europe,Hostage taking/assassinaton,138
1994,Europe,Other,42
1994,MENA,Armed Assault,301
1994,MENA,Bombing/Explosion,292
1994,MENA,Facility/Infrastructure Attack,29
1994,MENA,Hostage taking/assassinaton,343
1994,MENA,Other,86
1994,North America,Armed Assault,16
1994,North America,Bombing/Explosion,16
1994,North America,Facility/Infrastructure Attack,18
1994,North America,Hostage taking/assassinaton,33
1994,North America,Other,19
1994,South America,Armed Assault,57
1994,South America,Bombing/Explosion,180
1994,South America,Facility/Infrastructure Attack,12
1994,South America,Hostage taking/assassinaton,96
1994,South America,Other,28
1994,South Asia,Armed Assault,122
1994,South Asia,Bombing/Explosion,135
1994,South Asia,Facility/Infrastructure Attack,6
1994,South Asia,Hostage taking/assassinaton,78
1994,South Asia,Other,35
1994,Sub-Saharan Africa,Armed Assault,149
1994,Sub-Saharan Africa,Bombing/Explosion,79
1994,Sub-Saharan Africa,Facility/Infrastructure Attack,10
1994,Sub-Saharan Africa,Hostage taking/assassinaton,136
1994,Sub-Saharan Africa,Other,59
1995,Asia-Pacific,Armed Assault,27
1995,Asia-Pacific,Bombing/Explosion,87
1995,Asia-Pacific,Facility/Infrastructure Attack,11
1995,Asia-Pacific,Hostage taking/assassinaton,51
1995,Asia-Pacific,Other,48
1995,Central America & Caribbean,Armed Assault,28
1995,Central America & Caribbean,Bombing/Explosion,30
1995,Central America & Caribbean,Facility/Infrastructure Attack,6
1995,Central America & Caribbean,Hostage taking/assassinaton,80
1995,Central America & Caribbean,Other,24
1995,Central Asia,Armed Assault,5
1995,Central Asia,Bombing/Explosion,13
1995,Central Asia,Facility/Infrastructure Attack,0
1995,Central Asia,Hostage taking/assassinaton,32
1995,Central Asia,Other,5
1995,Europe,Armed Assault,25
1995,Europe,Bombing/Explosion,156
1995,Europe,Facility/Infrastructure Attack,144
1995,Europe,Hostage taking/assassinaton,59
1995,Europe,Other,21
1995,MENA,Armed Assault,150
1995,MENA,Bombing/Explosion,176
1995,MENA,Facility/Infrastructure Attack,42
1995,MENA,Hostage taking/assassinaton,205
1995,MENA,Other,17
1995,North America,Armed Assault,17
1995,North America,Bombing/Explosion,12
1995,North America,Facility/Infrastructure Attack,26
1995,North America,Hostage taking/assassinaton,17
1995,North America,Other,22
1995,South America,Armed Assault,42
1995,South America,Bombing/Explosion,82
1995,South America,Facility/Infrastructure Attack,13
1995,South America,Hostage taking/assassinaton,51
1995,South America,Other,67
1995,South Asia,Armed Assault,348
1995,South Asia,Bombing/Explosion,175
1995,South Asia,Facility/Infrastructure Attack,43
1995,South Asia,Hostage taking/assassinaton,325
1995,South Asia,Other,160
1995,Sub-Saharan Africa,Armed Assault,97
1995,Sub-Saharan Africa,Bombing/Explosion,55
1995,Sub-Saharan Africa,Facility/Infrastructure Attack,4
1995,Sub-Saharan Africa,Hostage taking/assassinaton,55
1995,Sub-Saharan Africa,Other,28
1996,Asia-Pacific,Armed Assault,50
1996,Asia-Pacific,Bombing/Explosion,100
1996,Asia-Pacific,Facility/Infrastructure Attack,17
1996,Asia-Pacific,Hostage taking/assassinaton,57
1996,Asia-Pacific,Other,77
1996,Central America & Caribbean,Armed Assault,24
1996,Central America & Caribbean,Bombing/Explosion,24
1996,Central America & Caribbean,Facility/Infrastructure Attack,4
1996,Central America & Caribbean,Hostage taking/assassinaton,53
1996,Central America & Caribbean,Other,11
1996,Central Asia,Armed Assault,5
1996,Central Asia,Bombing/Explosion,15
1996,Central Asia,Facility/Infrastructure Attack,0
1996,Central Asia,Hostage taking/assassinaton,13
1996,Central Asia,Other,0
1996,Europe,Armed Assault,31
1996,Europe,Bombing/Explosion,455
1996,Europe,Facility/Infrastructure Attack,79
1996,Europe,Hostage taking/assassinaton,75
1996,Europe,Other,11
1996,MENA,Armed Assault,93
1996,MENA,Bombing/Explosion,156
1996,MENA,Facility/Infrastructure Attack,17
1996,MENA,Hostage taking/assassinaton,82
1996,MENA,Other,25
1996,North America,Armed Assault,39
1996,North America,Bombing/Explosion,16
1996,North America,Facility/Infrastructure Attack,13
1996,North America,Hostage taking/assassinaton,31
1996,North America,Other,12
1996,South America,Armed Assault,125
1996,South America,Bombing/Explosion,165
1996,South America,Facility/Infrastructure Attack,10
1996,South America,Hostage taking/assassinaton,133
1996,South America,Other,84
1996,South Asia,Armed Assault,189
1996,South Asia,Bombing/Explosion,251
1996,South Asia,Facility/Infrastructure Attack,23
1996,South Asia,Hostage taking/assassinaton,154
1996,South Asia,Other,120
1996,Sub-Saharan Africa,Armed Assault,77
1996,Sub-Saharan Africa,Bombing/Explosion,30
1996,Sub-Saharan Africa,Facility/Infrastructure Attack,22
1996,Sub-Saharan Africa,Hostage taking/assassinaton,45
1996,Sub-Saharan Africa,Other,43
1997,Asia-Pacific,Armed Assault,44
1997,Asia-Pacific,Bombing/Explosion,64
1997,Asia-Pacific,Facility/Infrastructure Attack,10
1997,Asia-Pacific,Hostage taking/assassinaton,38
1997,Asia-Pacific,Other,51
1997,Central America & Caribbean,Armed Assault,38
1997,Central America & Caribbean,Bombing/Explosion,33
1997,Central America & Caribbean,Facility/Infrastructure Attack,4
1997,Central America & Caribbean,Hostage taking/assassinaton,25
1997,Central America & Caribbean,Other,17
1997,Central Asia,Armed Assault,14
1997,Central Asia,Bombing/Explosion,17
1997,Central Asia,Facility/Infrastructure Attack,1
1997,Central Asia,Hostage taking/assassinaton,15
1997,Central Asia,Other,2
1997,Europe,Armed Assault,75
1997,Europe,Bombing/Explosion,377
1997,Europe,Facility/Infrastructure Attack,35
1997,Europe,Hostage taking/assassinaton,92
1997,Europe,Other,18
1997,MENA,Armed Assault,204
1997,MENA,Bombing/Explosion,176
1997,MENA,Facility/Infrastructure Attack,12
1997,MENA,Hostage taking/assassinaton,81
1997,MENA,Other,77
1997,North America,Armed Assault,36
1997,North America,Bombing/Explosion,15
1997,North America,Facility/Infrastructure Attack,16
1997,North America,Hostage taking/assassinaton,55
1997,North America,Other,15
1997,South America,Armed Assault,165
1997,South America,Bombing/Explosion,223
1997,South America,Facility/Infrastructure Attack,13
1997,South America,Hostage taking/assassinaton,271
1997,South America,Other,102
1997,South Asia,Armed Assault,150
1997,South Asia,Bombing/Explosion,155
1997,South Asia,Facility/Infrastructure Attack,4
1997,South Asia,Hostage taking/assassinaton,124
1997,South Asia,Other,57
1997,Sub-Saharan Africa,Armed Assault,97
1997,Sub-Saharan Africa,Bombing/Explosion,55
1997,Sub-Saharan Africa,Facility/Infrastructure Attack,42
1997,Sub-Saharan Africa,Hostage taking/assassinaton,21
1997,Sub-Saharan Africa,Other,64
1998,Asia-Pacific,Armed Assault,9
1998,Asia-Pacific,Bombing/Explosion,25
1998,Asia-Pacific,Facility/Infrastructure Attack,2
1998,Asia-Pacific,Hostage taking/assassinaton,6
1998,Asia-Pacific,Other,5
1998,Central America & Caribbean,Armed Assault,0
1998,Central America & Caribbean,Bombing/Explosion,1
1998,Central America & Caribbean,Facility/Infrastructure Attack,0
1998,Central America & Caribbean,Hostage taking/assassinaton,0
1998,Central America & Caribbean,Other,0
1998,Central Asia,Armed Assault,8
1998,Central Asia,Bombing/Explosion,14
1998,Central Asia,Facility/Infrastructure Attack,0
1998,Central Asia,Hostage taking/assassinaton,3
1998,Central Asia,Other,0
1998,Europe,Armed Assault,52
1998,Europe,Bombing/Explosion,144
1998,Europe,Facility/Infrastructure Attack,29
1998,Europe,Hostage taking/assassinaton,15
1998,Europe,Other,6
1998,MENA,Armed Assault,67
1998,MENA,Bombing/Explosion,114
1998,MENA,Facility/Infrastructure Attack,2
1998,MENA,Hostage taking/assassinaton,8
1998,MENA,Other,56
1998,North America,Armed Assault,4
1998,North America,Bombing/Explosion,11
1998,North America,Facility/Infrastructure Attack,13
1998,North America,Hostage taking/assassinaton,1
1998,North America,Other,7
1998,South America,Armed Assault,29
1998,South America,Bombing/Explosion,51
1998,South America,Facility/Infrastructure Attack,3
1998,South America,Hostage taking/assassinaton,19
1998,South America,Other,6
1998,South Asia,Armed Assault,44
1998,South Asia,Bombing/Explosion,84
1998,South Asia,Facility/Infrastructure Attack,0
1998,South Asia,Hostage taking/assassinaton,5
1998,South Asia,Other,3
1998,Sub-Saharan Africa,Armed Assault,47
1998,Sub-Saharan Africa,Bombing/Explosion,20
1998,Sub-Saharan Africa,Facility/Infrastructure Attack,3
1998,Sub-Saharan Africa,Hostage taking/assassinaton,9
1998,Sub-Saharan Africa,Other,8
1999,Asia-Pacific,Armed Assault,44
1999,Asia-Pacific,Bombing/Explosion,33
1999,Asia-Pacific,Facility/Infrastructure Attack,11
1999,Asia-Pacific,Hostage taking/assassinaton,17
1999,Asia-Pacific,Other,10
1999,Central America & Caribbean,Armed Assault,4
1999,Central America & Caribbean,Bombing/Explosion,1
1999,Central America & Caribbean,Facility/Infrastructure Attack,0
1999,Central America & Caribbean,Hostage taking/assassinaton,1
1999,Central America & Caribbean,Other,2
1999,Central Asia,Armed Assault,3
1999,Central Asia,Bombing/Explosion,14
1999,Central Asia,Facility/Infrastructure Attack,0
1999,Central Asia,Hostage taking/assassinaton,6
1999,Central Asia,Other,1
1999,Europe,Armed Assault,67
1999,Europe,Bombing/Explosion,207
1999,Europe,Facility/Infrastructure Attack,53
1999,Europe,Hostage taking/assassinaton,27
1999,Europe,Other,20
1999,MENA,Armed Assault,94
1999,MENA,Bombing/Explosion,160
1999,MENA,Facility/Infrastructure Attack,12
1999,MENA,Hostage taking/assassinaton,25
1999,MENA,Other,25
1999,North America,Armed Assault,8
1999,North America,Bombing/Explosion,5
1999,North America,Facility/Infrastructure Attack,14
1999,North America,Hostage taking/assassinaton,1
1999,North America,Other,28
1999,South America,Armed Assault,24
1999,South America,Bombing/Explosion,50
1999,South America,Facility/Infrastructure Attack,3
1999,South America,Hostage taking/assassinaton,46
1999,South America,Other,11
1999,South Asia,Armed Assault,63
1999,South Asia,Bombing/Explosion,125
1999,South Asia,Facility/Infrastructure Attack,2
1999,South Asia,Hostage taking/assassinaton,21
1999,South Asia,Other,14
1999,Sub-Saharan Africa,Armed Assault,54
1999,Sub-Saharan Africa,Bombing/Explosion,38
1999,Sub-Saharan Africa,Facility/Infrastructure Attack,10
1999,Sub-Saharan Africa,Hostage taking/assassinaton,26
1999,Sub-Saharan Africa,Other,15
